"workerid","category","trial_type","trial_num","targetSentence","rt","timeWindow","freq_5years","past","item","verb","condition","n_times","logfreq","observationSentence"
2,"employment","frequency_judgment",12,"You overhear two friends talking. <br>One of them says to the other, ""Hillary volunteered for a political campaign today.""",8992,"week",260,"volunteered for a political campaign","volunteers for political campaigns","volunteer for political campaigns","communication",1,5.56068163102,"Hillary volunteered for a political campaign today."
2,"employment","frequency_judgment",13,"You overhear two friends talking. <br>One of them says to the other, ""Angela wrote a poem today.""",10958,"week",260,"wrote a poem","writes poems","write poems","communication",1,5.56068163102,"Angela wrote a poem today."
2,"food","frequency_judgment",14,"You overhear two friends talking. <br>One of them says to the other, ""Amber smoked cigarettes today.""",8216,"week",260,"smoked cigarettes","smokes cigarettes","smoke cigarettes","communication",1,5.56068163102,"Amber smoked cigarettes today."
2,"entertainment","frequency_judgment",15,"You overhear two friends talking. <br>One of them says to the other, ""Kelly watched professional football today.""",4067,"week",260,"watched professional football","watches professional football","watch professional football","communication",1,5.56068163102,"Kelly watched professional football today."
2,"food","frequency_judgment",16,"You overhear two friends talking. <br>One of them says to the other, ""Ted drank coffee today.""",6385,"week",260,"drank coffee","drinks coffee","drink coffee","communication",1,5.56068163102,"Ted drank coffee today."
2,"entertainment","frequency_judgment",17,"You overhear two friends talking. <br>One of them says to the other, ""Daniel listened to live music today.""",5028,"week",260,"listened to live music","listens to live music","listen to live music","communication",1,5.56068163102,"Daniel listened to live music today."
2,"food","frequency_judgment",18,"You overhear two friends talking. <br>One of them says to the other, ""Jacob ate caviar today.""",3967,"week",260,"ate caviar","eats caviar","eat caviar","communication",1,5.56068163102,"Jacob ate caviar today."
2,"food","frequency_judgment",19,"You overhear two friends talking. <br>One of them says to the other, ""Maya drank a beer today.""",4031,"week",260,"drank a beer","drinks beer","drink beer","communication",1,5.56068163102,"Maya drank a beer today."
2,"entertainment","frequency_judgment",20,"You overhear two friends talking. <br>One of them says to the other, ""Stephen went to the ballet today.""",7832,"week",260,"went to the ballet","goes to the ballet","go to the ballet","communication",1,5.56068163102,"Stephen went to the ballet today."
2,"hobby","frequency_judgment",21,"You overhear two friends talking. <br>One of them says to the other, ""Veronica played the banjo today.""",3910,"week",260,"played the banjo","plays the banjo","play the banjo","communication",1,5.56068163102,"Veronica played the banjo today."
2,"clothing","frequency_judgment",22,"You overhear two friends talking. <br>One of them says to the other, ""Lewis wore socks today.""",4804,"week",260,"wore socks","wears socks","wear socks","communication",1,5.56068163102,"Lewis wore socks today."
2,"entertainment","frequency_judgment",23,"You overhear two friends talking. <br>One of them says to the other, ""Stephen watched a space launch today.""",5556,"week",260,"watched a space launch","watches space launches","watch space launches","communication",1,5.56068163102,"Stephen watched a space launch today."
2,"clothing","frequency_judgment",24,"You overhear two friends talking. <br>One of them says to the other, ""Scott wore a watch today.""",6124,"week",260,"wore a watch","wears a watch","wear a watch","communication",1,5.56068163102,"Scott wore a watch today."
2,"hobby","frequency_judgment",25,"You overhear two friends talking. <br>One of them says to the other, ""Kyle climbed a mountain today.""",3143,"week",260,"climbed a mountain","climbs mountains","climb mountains","communication",1,5.56068163102,"Kyle climbed a mountain today."
2,"employment","frequency_judgment",26,"You overhear two friends talking. <br>One of them says to the other, ""David stole chewing gum today.""",5072,"week",260,"stole chewing gum","steals chewing gum","steal chewing gum","communication",1,5.56068163102,"David stole chewing gum today."
3,"hobby","frequency_judgment",0,"You overhear two friends talking. <br>One of them says to the other, ""Rebecca went on a hike today.""",16225,"month",60,"went on a hike","hikes","go on a hike","communication",1,4.09434456222,"Rebecca went on a hike today."
3,"food","frequency_judgment",1,"You overhear two friends talking. <br>One of them says to the other, ""Eric did cocaine today.""",11778,"week",780,"did cocaine","does cocaine","do cocaine","communication",3,6.65929391968,"Eric did cocaine today."
3,"entertainment","frequency_judgment",2,"You overhear two friends talking. <br>One of them says to the other, ""Scott went to the movies today.""",6865,"week",260,"went to the movies","goes to the movies","go to the movies","communication",1,5.56068163102,"Scott went to the movies today."
3,"entertainment","frequency_judgment",3,"You overhear two friends talking. <br>One of them says to the other, ""Kim listened to live music today.""",6563,"month",60,"listened to live music","listens to live music","listen to live music","communication",1,4.09434456222,"Kim listened to live music today."
3,"hobby","frequency_judgment",4,"You overhear two friends talking. <br>One of them says to the other, ""Vince climbed a mountain today.""",8341,"year",5,"climbed a mountain","climbs mountains","climb mountains","communication",1,1.60943791243,"Vince climbed a mountain today."
3,"clothing","frequency_judgment",5,"You overhear two friends talking. <br>One of them says to the other, ""Martin wore slacks today.""",8261,"week",1300,"wore slacks","wears slacks","wear slacks","communication",5,7.17011954345,"Martin wore slacks today."
3,"entertainment","frequency_judgment",6,"You overhear two friends talking. <br>One of them says to the other, ""Theresa watched a space launch today.""",9729,"year",10,"watched a space launch","watches space launches","watch space launches","communication",2,2.30258509299,"Theresa watched a space launch today."
3,"food","frequency_judgment",7,"You overhear two friends talking. <br>One of them says to the other, ""Ted drank a beer today.""",7559,"week",780,"drank a beer","drinks beer","drink beer","communication",3,6.65929391968,"Ted drank a beer today."
3,"employment","frequency_judgment",8,"You overhear two friends talking. <br>One of them says to the other, ""Brooke stole a car today.""",14042,"year",10,"stole a car","steals cars","steal cars","communication",2,2.30258509299,"Brooke stole a car today."
3,"food","frequency_judgment",9,"You overhear two friends talking. <br>One of them says to the other, ""Melinda smoked marijuana today.""",6716,"week",520,"smoked marijuana","smokes marijuana","smoke marijuana","communication",2,6.25382881158,"Melinda smoked marijuana today."
3,"employment","frequency_judgment",10,"You overhear two friends talking. <br>One of them says to the other, ""Tom volunteered for a political campaign today.""",10400,"5 years",2,"volunteered for a political campaign","volunteers for political campaigns","volunteer for political campaigns","communication",2,0.69314718056,"Tom volunteered for a political campaign today."
3,"food","frequency_judgment",11,"You overhear two friends talking. <br>One of them says to the other, ""Kelly smoked cigarettes today.""",16113,"week",1820,"smoked cigarettes","smokes cigarettes","smoke cigarettes","communication",7,7.50659178007,"Kelly smoked cigarettes today."
3,"food","frequency_judgment",12,"You overhear two friends talking. <br>One of them says to the other, ""Esther ate peanut butter today.""",5201,"week",520,"ate peanut butter","eats peanut butter","eat peanut butter","communication",2,6.25382881158,"Esther ate peanut butter today."
3,"food","frequency_judgment",13,"You overhear two friends talking. <br>One of them says to the other, ""Lewis ate caviar today.""",7374,"month",60,"ate caviar","eats caviar","eat caviar","communication",1,4.09434456222,"Lewis ate caviar today."
3,"hobby","frequency_judgment",14,"You overhear two friends talking. <br>One of them says to the other, ""Jack played the banjo today.""",7322,"week",520,"played the banjo","plays the banjo","play the banjo","communication",2,6.25382881158,"Jack played the banjo today."
3,"clothing","frequency_judgment",15,"You overhear two friends talking. <br>One of them says to the other, ""Alicia wore socks today.""",7328,"week",1820,"wore socks","wears socks","wear socks","communication",7,7.50659178007,"Alicia wore socks today."
3,"clothing","frequency_judgment",16,"You overhear two friends talking. <br>One of them says to the other, ""Lucas wore a hat today.""",7640,"week",260,"wore a hat","wears a hat","wear a hat","communication",1,5.56068163102,"Lucas wore a hat today."
3,"entertainment","frequency_judgment",17,"You overhear two friends talking. <br>One of them says to the other, ""Jackie went to the ballet today.""",9347,"year",15,"went to the ballet","goes to the ballet","go to the ballet","communication",3,2.7080502011,"Jackie went to the ballet today."
3,"employment","frequency_judgment",18,"You overhear two friends talking. <br>One of them says to the other, ""Greg volunteered for a soup kitchen today.""",5867,"month",60,"volunteered for a soup kitchen","volunteers for soup kitchens","volunteer for soup kitchens","communication",1,4.09434456222,"Greg volunteered for a soup kitchen today."
3,"food","frequency_judgment",19,"You overhear two friends talking. <br>One of them says to the other, ""John drank coffee today.""",8490,"week",1560,"drank coffee","drinks coffee","drink coffee","communication",6,7.35244110024,"John drank coffee today."
3,"entertainment","frequency_judgment",20,"You overhear two friends talking. <br>One of them says to the other, ""Jacob watched professional football today.""",6658,"week",520,"watched professional football","watches professional football","watch professional football","communication",2,6.25382881158,"Jacob watched professional football today."
3,"employment","frequency_judgment",21,"You overhear two friends talking. <br>One of them says to the other, ""Gabriel stole chewing gum today.""",10062,"year",25,"stole chewing gum","steals chewing gum","steal chewing gum","communication",5,3.21887582487,"Gabriel stole chewing gum today."
3,"hobby","frequency_judgment",22,"You overhear two friends talking. <br>One of them says to the other, ""Anthony went for a run today.""",11100,"week",780,"went for a run","runs","go for a run","communication",3,6.65929391968,"Anthony went for a run today."
3,"entertainment","frequency_judgment",23,"You overhear two friends talking. <br>One of them says to the other, ""Angela listened to Pandora today.""",5864,"week",1040,"listened to Pandora","listens to Pandora","listen to Pandora","communication",4,6.94697599214,"Angela listened to Pandora today."
3,"employment","frequency_judgment",24,"You overhear two friends talking. <br>One of them says to the other, ""Nicole wrote a poem today.""",9020,"year",10,"wrote a poem","writes poems","write poems","communication",2,2.30258509299,"Nicole wrote a poem today."
3,"clothing","frequency_judgment",25,"You overhear two friends talking. <br>One of them says to the other, ""Stephanie wore a watch today.""",6518,"week",1040,"wore a watch","wears a watch","wear a watch","communication",4,6.94697599214,"Stephanie wore a watch today."
3,"hobby","frequency_judgment",26,"You overhear two friends talking. <br>One of them says to the other, ""Michelle played tennis today.""",7079,"month",180,"played tennis","plays tennis","play tennis","communication",3,5.19295685089,"Michelle played tennis today."
4,"hobby","frequency_judgment",0,"",11877,"5 years",0,"climbed a mountain","climbs mountains","climb mountains","baseline",0,0,"Ted climbed a mountain today."
4,"entertainment","frequency_judgment",1,"",9472,"year",100,"watched professional football","watches professional football","watch professional football","baseline",20,4.60517018599,"Doug watched professional football today."
